CODE;WATER;HUM;BIO;CAF;CTP;CLA;HCT;NIC;TTA;VFX;∑OR;EC;TOC;pH;T;TDS;Na;K;Ca;Mg;Cl;SO4;HCO3;NO3;PO4 ;SiO2 ;Al;As;Ba;Cr;Cu;Mn;Mo;Tl;U;V;Zn
1_D;SURFACE;2;0;93.73;2.4;0.05;8.1;13.4;0.7;0.1;118;40;0.25;7.9;1.9;31;10;0;0;0;9;2;7;0.3;0;3.6;11.2;0.14;0.1;0.03;0.1;0.25;0.1;0.12;0.03;7.6;1.42
2_D;SURFACE;0;0;1.73;13.1;11.27;0.15;12.2;2.5;1.67;42;881;1.57;7.05;1.7;606;227;10;11;3;292;74;35;0.3;0.27;17.2;15;8.71;0.37;0.06;0.33;0.25;6.86;0.03;0.03;301;1.69
3_D;SURFACE;5;0;0.05;0.65;3.6;5.9;0.35;5.83;0.1;15;37;1.62;7.65;3.2;30.5;7;0;0;1;5;2;12;0.3;0.18;4.2;570;0.52;0.41;0.3;1.37;11.8;0.1;0.12;0.03;13.8;1.97
4_D;SEA;5;0;4.63;26.7;1.97;0.15;12.2;2.7;5.67;122;52000;1.41;7.44;1.9;37040;10551;478;370;900;17100;2880;46;2;0.58;6.4;25;1.25;12.2;4.24;5;12.5;5;1.25;2.73;4.8;25
5_D;SURFACE;5;0;0.05;0.65;0.05;0.15;71.9;2.43;3.8;95;36;1.63;8.12;1;29.2;7;0;0;1;7;2;9;0.3;0.15;2.3;168;0.36;0.1;0.1;0.29;4.82;0.1;0.12;0.03;8.54;1.24
6_D;SEA;5;0;31.63;51.1;4.37;0.15;37.9;4.5;8.27;138;52250;1.86;6.75;32.5;37310;11309;476;410;920;18300;2790;162;4;0.71;97.5;25;5.12;45.2;1.25;5;880;5;1.25;1.25;6.21;25
7_D;SURFACE;0;1;0.05;7.8;0.05;0.15;0.35;0.25;0.1;8;99;2.46;6.81;1.7;79;15;2;1;1;18;2;5;11;1.19;17.7;173;0.46;0.1;0.03;5.2;27.8;0.1;0.07;0.03;4.47;3.92
8_D;SURFACE;0;2;0.05;9.1;0.7;2.5;0.35;0.7;0.1;49;62;1.58;7;2.9;45.6;11;0;0;1;11;2;11;1;0.47;5.1;28;0.19;0.1;0.16;0.43;0.25;0.1;0.09;0.03;4.27;0.96
9_D;SURFACE;1;0;0.05;0.65;0.05;0.4;0.35;7.13;0.1;7;15;1.38;7.16;1.8;13.5;3;0;0;1;3;2;4;1;0.14;1.8;248;0.12;0.2;0.15;7.81;6.25;0.1;0.13;0.03;5.1;1.87
10_D;SEA;4;0;14.13;11.8;1.97;0.15;9.3;2.1;4.07;138;57100;1.65;7.28;1.2;40795;13294;528;410;1000;22000;2910;55;1;0.58;4.6;25;2.45;12.2;1.25;5;12.5;5;1.25;3.29;4.5;25
11_L;SURFACE;0;0;27.83;5;0.05;2.4;0.35;6.43;0.1;42;91;1.64;7.92;54.5;67.6;14;0;1;2;21;2;12;0.3;0;2.9;34.7;0.07;12.7;0.08;0.43;1.49;0.32;0.05;0.03;0.31;37.8
12_L;SURFACE;0;0;0.05;2.2;2.9;0.15;4.4;0.7;0.1;7;87;1.41;7.41;2.4;63.8;14;0;1;2;21;2;11;0.3;0;1.5;16.4;0.22;5.96;0.03;0.1;0.25;0.1;0.03;0.03;0.75;1.02
13_L;SURFACE;2;0;0.05;2.2;3.4;0.15;12.9;0.7;0.1;16;86;1.39;7.38;3.3;67;14;0;1;2;21;2;11;0.3;0;2.6;15;0.21;4.63;0.03;0.1;0.25;0.1;0.03;0.03;0.92;1.17
14_L;SURFACE;4;0;7.33;2.2;0.05;2.4;7.8;2.23;0.1;20;87;1.79;6.96;4.4;65.4;14;0;1;2;20;2;13;0.3;0;3.3;17.1;0.27;4.16;0.03;0.1;0.25;0.1;0.03;0.03;1.1;1.19
15_L;SEA;4;0;25.73;16.5;2.47;1.8;11.7;2.3;5.97;110;54600;2.63;7.4;0.9;38930;11913;471;390;1000;19200;3340;41;2;0.71;3.6;25;1.25;11.6;1.25;5;12.5;5;1.25;3.01;2.61;25
16_L;SURFACE;2;0;0.05;5.2;0.05;0.15;8.5;2.13;0.1;16;87;2.68;8.05;3;60.8;14;0;2;1;21;2;8;0.3;0;3;14.1;0.27;4.06;0.05;0.1;0.25;0.1;0.09;0.03;1.02;1.35
17_L;SURFACE;3;3;0.05;0.65;0.05;0.15;0.35;6.03;0.1;6;94;2.41;7.55;2.4;73.6;12;0;3;1;16;5;12;0.3;0;6.8;47.2;0.79;2.84;0.03;2.84;0.25;0.1;0.06;0.03;2.73;1.72
18_L;SURFACE;1;0;0.05;13.7;0.05;0.4;4.2;1.93;0.1;20;64;1.6;7.65;1.7;48.4;11;0;0;1;12;2;10;0.3;0;1.5;225;1.45;3.74;0.12;0.88;3.26;0.1;0.08;0.03;1.92;2.5
19_L;SURFACE;3;0;0.05;2.2;4.9;0.15;8.8;0.7;0.25;14;27;1.25;7.52;0.4;21.6;4;0;0;1;6;1;4;0.3;0;0.5;325;0.45;2.17;0.26;0.26;3.94;0.1;0.1;0.03;1.04;1.69
20_L;SURFACE;0;1;2.63;2.2;0.05;0.15;6;0.7;0.5;9;59;1.29;7.38;2.7;45.2;8;0;0;0;8;2;19;0.3;0;5.1;15.1;1.28;0.84;0.03;0.1;0.25;0.1;0.12;0.03;2.85;0.05
21_L;SURFACE;0;0;6.13;0.65;2.3;0.15;6.9;2.23;1;19;31;1.28;7.48;3.6;24.6;5;0;0;1;4;1;10;0.3;0;0.8;115;0.27;0.57;0.1;0.27;1.53;0.1;0.14;0.03;1.08;1.21
22_L;SURFACE;0;0;0.05;0.65;0.05;0.15;0.35;2.03;0.1;2;25;1.4;7.46;3.4;19.8;4;0;0;1;2;2;9;0.3;0;0.5;104;0.31;0.45;0.07;0.23;1.21;0.1;0.14;0.03;1.1;1.14
23_L;SURFACE;1;0;66.13;0.65;0.05;10.1;145.7;5.63;0.1;235;43;1.82;7.13;0.9;32.8;7;0;0;1;6;5;7;0.3;0;8.5;64.1;0.1;0.31;0.08;0.68;0.99;0.1;0.13;0.03;3.53;1.26
24_L;SURFACE;1;1;23.73;0.65;0.7;3.1;30.5;0.25;0.1;58;40;1.75;6.64;1.2;30.1;6;0;0;1;5;2;7;2;0;7;12.2;0.49;1.18;0.03;0.63;0.25;0.1;0.13;0.03;5.01;0.05
25_B;SURFACE;3;0;1.83;0.65;0.05;6;8.9;0.7;0.1;17;249;1.65;6.68;3.5;187.6;36;1;16;3;27;63;25;2;0;4.5;14.1;0.2;0.55;0.03;0.38;0.25;0.95;0.09;0.03;0.72;1.04
26_B;SURFACE;0;2;0.05;0.65;0.05;4;0.35;2.03;0.1;6;202;2.8;6.88;2.5;147;40;2;2;3;25;10;55;15;0;8.4;13.6;0.3;0.1;0.03;2.69;0.25;0.69;0.1;0.03;0.88;0.05
27_B;SURFACE;0;2;0.05;0.65;0.05;2.8;0.35;11.03;0.1;14;275;4.01;6.82;3.4;208;52;4;4;5;29;58;47;3;0;9.6;44.9;1.35;0.1;0.09;2.02;7.21;0.36;0.08;0.05;3.14;1.96
28_B;SEA;4;0;7.63;29.9;2.97;0.15;10;4.6;6.37;140;54000;1.74;6.98;3.4;39830;11807;486;480;1100;19600;3320;47;2;0;3.8;25;1.25;11.7;5.12;5;12.5;5;1.25;3.03;0;25
29_B;SURFACE;3;3;0.05;0.65;0.05;0.15;7.1;2.33;0.1;30;64;1.73;8.15;3.6;46.8;11;0;1;1;12;9;5;0.3;0;1.5;10.1;0.07;0.1;0.07;0.24;0.25;0.1;0.1;0.03;0.38;0.05
30_B;SURFACE;3;0;61.43;291.6;172.57;1.2;31.6;19.7;34.67;682;983;2.59;6.51;3.8;694.8;178;9;25;15;300;5;92;0.3;0;9.4;8.8;0.66;1.08;0.03;0.91;472;0.44;0.03;0.03;0.34;0.05
31_B;SURFACE;1;0;8.73;79.5;46.87;0.15;12.7;2.8;0.1;151;453;1.51;7.31;3.2;338.2;39;0;63;8;18;194;52;0.3;0;4.3;40.6;0.1;1.68;0.03;0.1;0.57;1.57;0.11;0.03;0.24;1.22
32_B;SURFACE;0;0;0.05;0.65;0.05;0.15;9.3;3.33;0.1;69;168;1.43;7.54;4.7;125.6;31;0;1;2;22;21;29;0.3;0.18;3.4;18.5;1.04;0.1;0.06;2.06;0.25;0.66;0.09;0.03;4.4;1.09
33_B;SURFACE;0;0;0.05;9.9;0.05;1.3;5.7;2.03;0.25;40;135;0.97;7.58;1.7;93.4;26;0;1;2;17;11;37;0.3;0.1;3.5;19.3;1.49;0.1;0.06;0.1;0.25;0.56;0.1;0.03;2.73;0.05
34_B;SURFACE;0;0;0.05;0.65;0.05;1.3;12.7;1.83;0.1;16;98;1.32;7.62;4.1;72;19;0;0;1;15;9;16;0.3;0.16;4.1;22;0.65;0.1;0.11;0.1;0.25;0.56;0.09;0.03;4.28;0.05
35_B;SURFACE;0;0;0.05;14.3;0.05;4.3;13;0.25;0.1;32;168;2.02;6.96;2.5;124.2;34;0;0;1;27;14;23;5;0.72;5.5;1.62;0.81;0.1;0.03;0.44;0.25;0.51;0.06;0.03;7.24;0.05
36_B;SURFACE;0;0;0.05;0.65;0.05;3.7;4;3.03;0.1;11;74;1.59;7.42;1.1;50;15;0;0;1;12;2;20;0.3;0.24;4.5;48.5;1.17;0.1;0.03;0.1;1.41;0.39;0.11;0.03;6.39;1.01
37_B;SURFACE;0;0;0.05;0.65;0.05;0.15;0.35;0.25;0.1;0;187;2.19;5.39;3.7;126.8;20;2;10;5;21;6;8;56;0.15;14.3;220;0.13;0.55;0.03;0.38;64;0.1;0.08;0.03;0.18;8.99
38_B;SURFACE;0;0;40.13;0.65;0.05;7.4;58;2.23;0.1;108;116;1.95;6.38;3.4;77;12;0;4;3;13;14;17;0.3;0;3.4;5.95;0.09;0.1;0.18;0.26;0.25;0.23;0.09;0.03;1.45;0.05
