"","HUM","BIO","CAF","CTP","CLA","HCT","NIC","TTA","VFX","X.OR","EC","TOC","pH","T","TDS","Na","K","Ca","Mg","Cl","SO4","HCO3","NO3","PO4","SiO2","Al","As","Ba","Cr","Cu","Mn","Mo","Tl","U","V","Zn"
"HUM",1,-0.187001356393691,0.291209567414679,0.258182290183504,0.370273178109657,-0.128777238219227,0.357182634318407,0.295055135159977,0.432341371076926,0.410048902188545,0.125164987296372,0.14021088895024,0.13780100085982,-0.109452171049485,0.13628204150221,0.117258871143115,0.288692821518125,0.319593929769092,0.241139583090133,0.187733166956696,0.185698460226288,0.0945403994992449,0.0247256234376129,0.0369293671054266,-0.0500369303597814,0.0679927021561778,0.120348575421157,0.50116767716172,0.360968931156422,0.287332893693996,0.370979397371566,0.096071802402438,0.366548268522038,0.449028327468542,0.0631409462965571,0.415865059072466
"BIO",-0.187001356393691,1,-0.251905761803183,-0.252434883771063,-0.240340971764721,0.011991171051913,-0.392196335735752,-0.100432024005368,-0.244581591158243,-0.310538103706275,-0.0773912131003553,0.319775655984238,-0.123476117797705,-0.0389303937604031,-0.0765165067732907,-0.114431236990515,-0.00475301857024923,-0.0660685343923264,-0.241155047563647,-0.121414096007264,-0.0671034233893533,-0.103435591011586,0.268047238084298,-0.12974404881565,0.330505127753102,-0.107221513051157,-0.0139895878402332,-0.292312221916644,-0.232314586264397,0.184285035720418,-0.233823920190099,-0.247665258953024,-0.108414357657509,-0.0649858137261441,-0.0133688044548913,-0.237534937331318
"CAF",0.291209567414679,-0.251905761803183,1,0.350614165364258,0.298150761708415,0.244901425715147,0.572757339940158,0.228080673899318,0.392365658245321,0.724461782418024,0.286904081973566,0.107049543506829,-0.294282338267351,0.0832814267624271,0.27611440067762,0.210473010413971,0.29288960210845,0.347686413946015,0.345027625682311,0.21308235599932,0.282999119159251,0.28637203761619,-0.0111167754833833,-0.157073439744078,0.224506022409806,-0.299394514077177,-0.0663949893399349,0.385796485351429,0.129632451274154,0.108519812444601,0.178931866189346,0.311715203605407,0.309473732917557,0.324746199933545,-0.0560449964323869,0.172693897355008
"CTP",0.258182290183504,-0.252434883771063,0.350614165364258,1,0.523096880094889,-0.229502644862518,0.2705508717367,0.0111807338908362,0.532553500564231,0.536743332806714,0.534932536246352,0.0405280188060415,-0.100464467951259,-0.0759936116213365,0.538286360047915,0.55001096915158,0.432134018799525,0.456593365627115,0.424901076555144,0.557623664755874,0.348208337754666,0.447832355386513,0.14091441311454,0.270096841118542,0.191691752987835,-0.170909999206706,0.378580360567286,0.479216457458998,0.161006171074627,0.151724056836464,0.288293691967984,0.460120129850292,-0.00450330210778691,0.422791384127548,-0.0648677921399815,0.305778291496446
"CLA",0.370273178109657,-0.240340971764721,0.298150761708415,0.523096880094889,1,-0.308025316669857,0.296250898448425,0.145518566604493,0.548453210616391,0.381785044126193,0.264717889344296,-0.129376706609457,-0.164737937829013,-0.0460208835547818,0.276089199145765,0.269228477963892,0.357648968881307,0.355829758366335,0.439322985130715,0.268997819982071,0.16056955467331,0.322625653797292,-0.015799136479489,0.103697288931357,0.0913925843117298,0.0221038345188886,0.217418299141586,0.505474022594794,0.26374863055793,0.123382491989952,0.33247860682099,0.306602904237381,0.135421437125468,0.324716050220084,-0.0756661467226932,0.216120316318271
"HCT",-0.128777238219227,0.011991171051913,0.244901425715147,-0.229502644862518,-0.308025316669857,1,0.0798750199931538,0.00692997574699271,-0.386048147029522,0.124301543215791,-0.0957854049454754,0.199122965067552,-0.215630851087111,-0.0735726493867221,-0.108207160657143,-0.0875331783567899,-0.177531375056206,-0.268983939657903,-0.139839869944279,-0.14352140348656,-0.00894069340289565,0.0363017767776993,0.0958422766350238,-0.0730436277108691,0.179653878836146,-0.226981991748537,-0.210153880267376,-0.39293202363202,-0.0921220781251061,-0.0127659042939999,-0.231814370116518,0.00842698616959821,-0.0497723297271519,-0.175796863605962,0.208599439903317,-0.279525972330356
"NIC",0.357182634318407,-0.392196335735752,0.572757339940158,0.2705508717367,0.296250898448425,0.0798750199931538,1,0.00055445419255885,0.372302174865865,0.742735481215144,0.205001754959191,-0.0132543674168301,-0.128187793182644,-0.0860502850118253,0.193823911551893,0.181154601228401,0.0835353370768587,0.152837670077081,0.180536735784623,0.184996143395079,0.314149625687183,0.183909836249542,-0.128276639656303,0.0250372770650075,0.097291196222628,-0.46148119876127,0.0497256514984475,0.0892188099700969,0.0838353500086505,-0.115891155746242,-0.0644000331831406,0.296580864663855,0.181738469305488,0.150920486220482,0.181143021363345,-0.168011765157198
"TTA",0.295055135159977,-0.100432024005368,0.228080673899318,0.0111807338908362,0.145518566604493,0.00692997574699271,0.00055445419255885,1,0.235185275929243,0.299221374180116,0.180910167299614,0.191518914007824,0.138400042080369,0.189855946325054,0.188531551114516,0.168987431726732,0.169534233473644,0.290694242968578,0.304064289050679,0.146402317445615,0.263277086966447,0.344351313762897,-0.215651691143213,-0.0492022834905207,0.0586978189081448,0.220658695855797,0.10377111580677,0.134730464244304,0.355157266235302,0.355302406279981,0.354161146927699,0.281054843665786,0.148027637737161,0.28504198617852,0.0353810041942164,0.324975938742085
"VFX",0.432341371076926,-0.244581591158243,0.392365658245321,0.532553500564231,0.548453210616391,-0.386048147029522,0.372302174865865,0.235185275929243,1,0.478743862717936,0.392968811018361,-0.0578674040224276,-0.060458818946663,-0.140746767005182,0.393083703085643,0.399202400757894,0.59253000198285,0.420173694846221,0.444056652845755,0.390630262934521,0.341887515455821,0.460049322618349,0.0925919955943154,0.265299172853665,0.135695307721495,-0.00192659907762695,0.565516602777892,0.396594174735026,0.452982118037181,0.278448883013974,0.502650295500889,0.476203122427903,0.416807730434589,0.587950812530416,0.0771122975619963,0.274243348126765
"X.OR",0.410048902188545,-0.310538103706275,0.724461782418024,0.536743332806714,0.381785044126193,0.124301543215791,0.742735481215144,0.299221374180116,0.478743862717936,1,0.386232960690989,0.0515712301733857,-0.071831376750724,-0.0159530796763212,0.379899334343914,0.35641850684805,0.263435804520137,0.341009454341958,0.393544629334397,0.325603228721024,0.466758793933913,0.382267567996402,-0.0524240996246108,0.122695740845993,0.151870310759559,-0.289652589224467,0.100613429729434,0.199849596738509,0.348426228211624,0.168149742212488,0.168811826500729,0.469883176754938,0.303880470214919,0.397088377636553,0.101062092250605,0.116293653051352
"EC",0.125164987296372,-0.0773912131003553,0.286904081973566,0.534932536246352,0.264717889344296,-0.0957854049454754,0.205001754959191,0.180910167299614,0.392968811018361,0.386232960690989,1,0.462751125766227,-0.427523548676534,0.199134081506778,0.997318227646367,0.975329791663966,0.783869978568517,0.888239060522523,0.858052092049876,0.937127189985131,0.873776899105094,0.813500066243348,0.464450659079387,0.322724589457296,0.542437852338527,-0.330100390979082,0.423361267418409,0.271822306225644,0.0798710669336515,0.366384554446424,0.246804746524702,0.844868164674254,-0.0732188138123765,0.617304177239811,-0.174284313276516,0.240933221846655
"TOC",0.14021088895024,0.319775655984238,0.107049543506829,0.0405280188060415,-0.129376706609457,0.199122965067552,-0.0132543674168301,0.191518914007824,-0.0578674040224276,0.0515712301733857,0.462751125766227,1,-0.465714442770385,0.100334359041539,0.447143797818579,0.399562028439343,0.430990596485907,0.466703084903432,0.365886270960656,0.457968461352519,0.344738192454887,0.233390033807822,0.496448568323709,0.053031090108929,0.50829368159697,-0.16637459312393,0.0343808201155904,0.0523279496310904,-0.0984411352903268,0.453916082629812,0.232202817527396,0.145751740361939,-0.189711417992765,0.249957015398942,-0.162416548101127,0.146571716558202
"pH",0.13780100085982,-0.123476117797705,-0.294282338267351,-0.100464467951259,-0.164737937829013,-0.215630851087111,-0.128187793182644,0.138400042080369,-0.060458818946663,-0.071831376750724,-0.427523548676534,-0.465714442770385,1,-0.128726547108409,-0.425608760864627,-0.360557320057292,-0.490823790472387,-0.387029405659933,-0.468265748680428,-0.347235487849701,-0.328312960916367,-0.316444030385301,-0.626376855785138,-0.0911331247750169,-0.622084781179549,0.216676828065043,-0.0352586940758127,-0.00703701439333387,0.190111424974809,-0.316210492695217,-0.181023873340429,-0.252219436971939,0.111895683228548,-0.179634113097042,0.100968642410266,0.089337537830336
"T",-0.109452171049485,-0.0389303937604031,0.0832814267624271,-0.0759936116213365,-0.0460208835547818,-0.0735726493867221,-0.0860502850118253,0.189855946325054,-0.140746767005182,-0.0159530796763212,0.199134081506778,0.100334359041539,-0.128726547108409,1,0.203715087858189,0.167398467261305,0.0138254948151142,0.240776505744497,0.242703884065834,0.214125007181865,0.116741525212689,0.240291817779157,-0.025824066294126,-0.212293079321161,-0.0302598546609959,-0.232980424584973,-0.234910468773321,0.0800814820789486,-0.0732247160443941,-0.111890620880139,-0.0543902315632507,0.0921174472430842,-0.269222722513049,-0.0541165161353242,-0.429886972518227,-0.102321187959787
"TDS",0.13628204150221,-0.0765165067732907,0.27611440067762,0.538286360047915,0.276089199145765,-0.108207160657143,0.193823911551893,0.188531551114516,0.393083703085643,0.379899334343914,0.997318227646367,0.447143797818579,-0.425608760864627,0.203715087858189,1,0.975285015744634,0.788481133656795,0.888579900938257,0.859793268790696,0.938521652544805,0.867241119892866,0.815707764045707,0.46072481656698,0.322540022026929,0.544747999761105,-0.308830197952925,0.428289970015387,0.275962037031797,0.0750376132452334,0.378240437287486,0.259158623256864,0.838380846609605,-0.0832063462490981,0.617412451031373,-0.174326987255261,0.260469910134985
"Na",0.117258871143115,-0.114431236990515,0.210473010413971,0.55001096915158,0.269228477963892,-0.0875331783567899,0.181154601228401,0.168987431726732,0.399202400757894,0.35641850684805,0.975329791663966,0.399562028439343,-0.360557320057292,0.167398467261305,0.975285015744634,1,0.780048783588623,0.825278365170453,0.822033956930619,0.948131084811655,0.833668494258563,0.831084226615959,0.456748432900175,0.386094366345215,0.517710651908352,-0.320329257165588,0.480013478299666,0.234368074311162,0.0591473177704524,0.316031656362462,0.243707818417446,0.86616536509699,-0.0644402177701122,0.623814680770358,-0.107426827948026,0.227387384330598
"K",0.288692821518125,-0.00475301857024923,0.29288960210845,0.432134018799525,0.357648968881307,-0.177531375056206,0.0835353370768587,0.169534233473644,0.59253000198285,0.263435804520137,0.783869978568517,0.430990596485907,-0.490823790472387,0.0138254948151142,0.788481133656795,0.780048783588623,1,0.775760220094571,0.761174723652343,0.769351241525637,0.67131040087732,0.585598332318439,0.644073295405247,0.362591630953991,0.573192167360279,-0.0582106344819059,0.475605553812257,0.313639772802966,0.275830602070319,0.605318231917995,0.584881237157096,0.663322430066826,0.199608663804243,0.755058896316911,-0.0331888646608584,0.476580291439066
"Ca",0.319593929769092,-0.0660685343923264,0.347686413946015,0.456593365627115,0.355829758366335,-0.268983939657903,0.152837670077081,0.290694242968578,0.420173694846221,0.341009454341958,0.888239060522523,0.466703084903432,-0.387029405659933,0.240776505744497,0.888579900938257,0.825278365170453,0.775760220094571,1,0.898387402835863,0.844185107460912,0.773609332242393,0.662242626019285,0.368915687911153,0.0987618351513504,0.383068075358878,-0.251620862334345,0.227263919446547,0.455142824239474,0.128840668867819,0.35023307162916,0.309814164841438,0.681165435764889,0.000685062590585746,0.623960863595287,-0.354880526248632,0.372368560380885
"Mg",0.241139583090133,-0.241155047563647,0.345027625682311,0.424901076555144,0.439322985130715,-0.139839869944279,0.180536735784623,0.304064289050679,0.444056652845755,0.393544629334397,0.858052092049876,0.365886270960656,-0.468265748680428,0.242703884065834,0.859793268790696,0.822033956930619,0.761174723652343,0.898387402835863,1,0.817291877075312,0.759832103033677,0.734871589991364,0.402284957972483,0.15205819391692,0.306258859683744,-0.155023086396041,0.243053071033157,0.431847829715499,0.247202401274692,0.364149076034666,0.397636750115423,0.746716919457546,0.0398464118883049,0.651108893317189,-0.335007608772085,0.335209541476035
"Cl",0.187733166956696,-0.121414096007264,0.21308235599932,0.557623664755874,0.268997819982071,-0.14352140348656,0.184996143395079,0.146402317445615,0.390630262934521,0.325603228721024,0.937127189985131,0.457968461352519,-0.347235487849701,0.214125007181865,0.938521652544805,0.948131084811655,0.769351241525637,0.844185107460912,0.817291877075312,1,0.753762024381934,0.738741793708971,0.45102588781455,0.288729548572985,0.428375869683952,-0.380348934364245,0.41206160415343,0.372298660177772,0.0558553020597493,0.345988550357845,0.218210738929393,0.759951287449808,-0.174439442594277,0.624057229742928,-0.186869983631936,0.293837517047699
"SO4",0.185698460226288,-0.0671034233893533,0.282999119159251,0.348208337754666,0.16056955467331,-0.00894069340289565,0.314149625687183,0.263277086966447,0.341887515455821,0.466758793933913,0.873776899105094,0.344738192454887,-0.328312960916367,0.116741525212689,0.867241119892866,0.833668494258563,0.67131040087732,0.773609332242393,0.759832103033677,0.753762024381934,1,0.738355241249986,0.426576673091564,0.328547648433464,0.45779699759507,-0.309630497664627,0.368284072774685,0.0995238144912736,0.251415945110965,0.389518311464139,0.14991480626805,0.856381139722116,0.19261422901738,0.640939307073487,-0.0223035767358171,0.171717316302996
"HCO3",0.0945403994992449,-0.103435591011586,0.28637203761619,0.447832355386513,0.322625653797292,0.0363017767776993,0.183909836249542,0.344351313762897,0.460049322618349,0.382267567996402,0.813500066243348,0.233390033807822,-0.316444030385301,0.240291817779157,0.815707764045707,0.831084226615959,0.585598332318439,0.662242626019285,0.734871589991364,0.738741793708971,0.738355241249986,1,0.234851515553775,0.220497588179073,0.42542472139985,-0.307342220531723,0.54550940931826,0.20224001230035,0.113804866232053,0.225730639488264,0.147391984396026,0.852068550829043,0.0604314768193684,0.540496394291328,-0.0434354134732698,0.0193734384459505
"NO3",0.0247256234376129,0.268047238084298,-0.0111167754833833,0.14091441311454,-0.015799136479489,0.0958422766350238,-0.128276639656303,-0.215651691143213,0.0925919955943154,-0.0524240996246108,0.464450659079387,0.496448568323709,-0.626376855785138,-0.025824066294126,0.46072481656698,0.456748432900175,0.644073295405247,0.368915687911153,0.402284957972483,0.45102588781455,0.426576673091564,0.234851515553775,1,0.420373057419605,0.565730912876815,-0.00437683513006314,0.181677714055786,0.0212098136730944,0.0783888265706742,0.627183181374465,0.374200201815935,0.327029558310557,0.194238820329162,0.491222017183811,0.0585473487085012,0.266511850369201
"PO4",0.0369293671054266,-0.12974404881565,-0.157073439744078,0.270096841118542,0.103697288931357,-0.0730436277108691,0.0250372770650075,-0.0492022834905207,0.265299172853665,0.122695740845993,0.322724589457296,0.053031090108929,-0.0911331247750169,-0.212293079321161,0.322540022026929,0.386094366345215,0.362591630953991,0.0987618351513504,0.15205819391692,0.288729548572985,0.328547648433464,0.220497588179073,0.420373057419605,1,0.380506706186268,0.177879416482579,0.435533290816145,-0.141831892141616,0.29962658072165,0.407325431668175,0.338179978941154,0.388945871266543,0.175271484351793,0.328735049708095,0.622780054761986,0.260131853061937
"SiO2",-0.0500369303597814,0.330505127753102,0.224506022409806,0.191691752987835,0.0913925843117298,0.179653878836146,0.097291196222628,0.0586978189081448,0.135695307721495,0.151870310759559,0.542437852338527,0.50829368159697,-0.622084781179549,-0.0302598546609959,0.544747999761105,0.517710651908352,0.573192167360279,0.383068075358878,0.306258859683744,0.428375869683952,0.45779699759507,0.42542472139985,0.565730912876815,0.380506706186268,1,-0.13618680499081,0.339339504315263,-0.0916788447189174,-0.197805712297841,0.416424366900878,0.208135784073837,0.379194642705445,-0.0568746755234363,0.251001294666106,0.271582655293761,0.0915183132549101
"Al",0.0679927021561778,-0.107221513051157,-0.299394514077177,-0.170909999206706,0.0221038345188886,-0.226981991748537,-0.46148119876127,0.220658695855797,-0.00192659907762695,-0.289652589224467,-0.330100390979082,-0.16637459312393,0.216676828065043,-0.232980424584973,-0.308830197952925,-0.320329257165588,-0.0582106344819059,-0.251620862334345,-0.155023086396041,-0.380348934364245,-0.309630497664627,-0.307342220531723,-0.00437683513006314,0.177879416482579,-0.13618680499081,1,0.038364581354234,0.0839171362042575,0.371680406626507,0.268718448043201,0.579810128696977,-0.281142247216894,0.247275375519876,0.0538428149601642,0.109345962421918,0.570975610056623
"As",0.120348575421157,-0.0139895878402332,-0.0663949893399349,0.378580360567286,0.217418299141586,-0.210153880267376,0.0497256514984475,0.10377111580677,0.565516602777892,0.100613429729434,0.423361267418409,0.0343808201155904,-0.0352586940758127,-0.234910468773321,0.428289970015387,0.480013478299666,0.475605553812257,0.227263919446547,0.243053071033157,0.41206160415343,0.368284072774685,0.54550940931826,0.181677714055786,0.435533290816145,0.339339504315263,0.038364581354234,1,0.15800242090481,0.240557131436063,0.31583389080043,0.259010870379121,0.488384382099151,0.162098949866411,0.516689155005043,0.420234355425593,0.189225441160407
"Ba",0.50116767716172,-0.292312221916644,0.385796485351429,0.479216457458998,0.505474022594794,-0.39293202363202,0.0892188099700969,0.134730464244304,0.396594174735026,0.199849596738509,0.271822306225644,0.0523279496310904,-0.00703701439333387,0.0800814820789486,0.275962037031797,0.234368074311162,0.313639772802966,0.455142824239474,0.431847829715499,0.372298660177772,0.0995238144912736,0.20224001230035,0.0212098136730944,-0.141831892141616,-0.0916788447189174,0.0839171362042575,0.15800242090481,1,0.220302575120813,0.164305284498067,0.330400238799576,0.156608387768667,0.131486555424621,0.463735647807063,-0.338316669012962,0.543850918722327
"Cr",0.360968931156422,-0.232314586264397,0.129632451274154,0.161006171074627,0.26374863055793,-0.0921220781251061,0.0838353500086505,0.355157266235302,0.452982118037181,0.348426228211624,0.0798710669336515,-0.0984411352903268,0.190111424974809,-0.0732247160443941,0.0750376132452334,0.0591473177704524,0.275830602070319,0.128840668867819,0.247202401274692,0.0558553020597493,0.251415945110965,0.113804866232053,0.0783888265706742,0.29962658072165,-0.197805712297841,0.371680406626507,0.240557131436063,0.220302575120813,1,0.430207278249652,0.471027259473995,0.259098901953424,0.550615459032144,0.59955840349114,0.183263261622577,0.482439910374255
"Cu",0.287332893693996,0.184285035720418,0.108519812444601,0.151724056836464,0.123382491989952,-0.0127659042939999,-0.115891155746242,0.355302406279981,0.278448883013974,0.168149742212488,0.366384554446424,0.453916082629812,-0.316210492695217,-0.111890620880139,0.378240437287486,0.316031656362462,0.605318231917995,0.35023307162916,0.364149076034666,0.345988550357845,0.389518311464139,0.225730639488264,0.627183181374465,0.407325431668175,0.416424366900878,0.268718448043201,0.31583389080043,0.164305284498067,0.430207278249652,1,0.590251729700885,0.308829220854001,0.279751573517351,0.541307908455503,0.208989377873409,0.534906285350805
"Mn",0.370979397371566,-0.233823920190099,0.178931866189346,0.288293691967984,0.33247860682099,-0.231814370116518,-0.0644000331831406,0.354161146927699,0.502650295500889,0.168811826500729,0.246804746524702,0.232202817527396,-0.181023873340429,-0.0543902315632507,0.259158623256864,0.243707818417446,0.584881237157096,0.309814164841438,0.397636750115423,0.218210738929393,0.14991480626805,0.147391984396026,0.374200201815935,0.338179978941154,0.208135784073837,0.579810128696977,0.259010870379121,0.330400238799576,0.471027259473995,0.590251729700885,1,0.176371037595761,0.36684324647477,0.554715730070983,0.0169664402831738,0.683354268472925
"Mo",0.096071802402438,-0.247665258953024,0.311715203605407,0.460120129850292,0.306602904237381,0.00842698616959821,0.296580864663855,0.281054843665786,0.476203122427903,0.469883176754938,0.844868164674254,0.145751740361939,-0.252219436971939,0.0921174472430842,0.838380846609605,0.86616536509699,0.663322430066826,0.681165435764889,0.746716919457546,0.759951287449808,0.856381139722116,0.852068550829043,0.327029558310557,0.388945871266543,0.379194642705445,-0.281142247216894,0.488384382099151,0.156608387768667,0.259098901953424,0.308829220854001,0.176371037595761,1,0.188675166601715,0.585921060117963,0.0419651208524819,0.15093476413422
"Tl",0.366548268522038,-0.108414357657509,0.309473732917557,-0.00450330210778691,0.135421437125468,-0.0497723297271519,0.181738469305488,0.148027637737161,0.416807730434589,0.303880470214919,-0.0732188138123765,-0.189711417992765,0.111895683228548,-0.269222722513049,-0.0832063462490981,-0.0644402177701122,0.199608663804243,0.000685062590585746,0.0398464118883049,-0.174439442594277,0.19261422901738,0.0604314768193684,0.194238820329162,0.175271484351793,-0.0568746755234363,0.247275375519876,0.162098949866411,0.131486555424621,0.550615459032144,0.279751573517351,0.36684324647477,0.188675166601715,1,0.509198460537993,0.243317139235861,0.241972614921084
"U",0.449028327468542,-0.0649858137261441,0.324746199933545,0.422791384127548,0.324716050220084,-0.175796863605962,0.150920486220482,0.28504198617852,0.587950812530416,0.397088377636553,0.617304177239811,0.249957015398942,-0.179634113097042,-0.0541165161353242,0.617412451031373,0.623814680770358,0.755058896316911,0.623960863595287,0.651108893317189,0.624057229742928,0.640939307073487,0.540496394291328,0.491222017183811,0.328735049708095,0.251001294666106,0.0538428149601642,0.516689155005043,0.463735647807063,0.59955840349114,0.541307908455503,0.554715730070983,0.585921060117963,0.509198460537993,1,0.0724013423914178,0.573765881662879
"V",0.0631409462965571,-0.0133688044548913,-0.0560449964323869,-0.0648677921399815,-0.0756661467226932,0.208599439903317,0.181143021363345,0.0353810041942164,0.0771122975619963,0.101062092250605,-0.174284313276516,-0.162416548101127,0.100968642410266,-0.429886972518227,-0.174326987255261,-0.107426827948026,-0.0331888646608584,-0.354880526248632,-0.335007608772085,-0.186869983631936,-0.0223035767358171,-0.0434354134732698,0.0585473487085012,0.622780054761986,0.271582655293761,0.109345962421918,0.420234355425593,-0.338316669012962,0.183263261622577,0.208989377873409,0.0169664402831738,0.0419651208524819,0.243317139235861,0.0724013423914178,1,0.0657311836483736
"Zn",0.415865059072466,-0.237534937331318,0.172693897355008,0.305778291496446,0.216120316318271,-0.279525972330356,-0.168011765157198,0.324975938742085,0.274243348126765,0.116293653051352,0.240933221846655,0.146571716558202,0.089337537830336,-0.102321187959787,0.260469910134985,0.227387384330598,0.476580291439066,0.372368560380885,0.335209541476035,0.293837517047699,0.171717316302996,0.0193734384459505,0.266511850369201,0.260131853061937,0.0915183132549101,0.570975610056623,0.189225441160407,0.543850918722327,0.482439910374255,0.534906285350805,0.683354268472925,0.15093476413422,0.241972614921084,0.573765881662879,0.0657311836483736,1
